;;Productos;;;;;;;;;;;;
;a_ijk;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;Disponibilidad (b_ik)
;R1;4,8;8,7;6,3;5,1;6,3;4,2;7,8;9,6;5,8;6,9;7,2;3,9;11610
;R2;8,4;0;9,2;5,4;3,6;7,8;5,6;0;5,9;5,7;3,2;3,1;12330
;R3;4,3;4,3;0;8,5;8,8;8,7;6,1;0;6,4;8,8;0;5,5;9060
;R4;0;0;8,8;9,3;0;5;7,6;3,6;0;0;7,4;3,9;5770
;R5;7,4;8,5;7,9;5,2;8,1;0;5,8;0;5,1;5,4;9,9;2,8;9760
;R6;4,3;4,6;6,4;9,3;0;0;8;3,6;0;4,9;5,5;7,3;5000
;R7;7,2;10;7,4;7,9;0;0;0;0;6,5;9,9;6,4;3,8;10030
;Costo producción (c_jk);47,81;75,47;90,85;81,89;87,04;72,9;89,91;68,53;44,47;67,52;45,29;96,26;
