;;Productos;;;;;;;;;;;;
;a_ijk;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;Disponibilidad (b_ik)
;R1;5,1;9;6,7;5,5;6,6;4,7;8,1;9,8;5,8;7,6;6,4;4,2;11550
;R2;8,6;0;9,7;5;3,8;7,4;5,5;0;6,8;6,2;3,1;3,3;9120
;R3;3,8;3,9;0;7,8;8,2;8,4;5,3;0;5,7;8,2;0;5,8;6190
;R4;0;0;10,1;9;0;5,6;7,1;3,9;0;0;8,1;4;7690
;R5;6,9;8,9;7,6;4,3;7,2;0;5,7;0;5;5,7;8,6;2,8;7290
;R6;4,1;4,5;6,1;10;0;0;8,2;3,5;0;4,6;5,5;8,7;10020
;R7;7,3;9,4;6,4;7,8;0;0;0;0;5,9;10,2;5,7;3,8;10900
;Costo producción (c_jk);52,35;64,6;82,55;82,86;91,25;70,56;97,99;75,68;45,92;69,15;41,03;102,91;
