;;Productos;;;;;;;;;;;;
;a_ijk;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;Disponibilidad (b_ik)
;R1;5,3;9,4;6,1;5,3;6,1;4,6;7,6;8,7;5,4;7;7,5;4,3;11790
;R2;9;0;10,1;5,5;4,1;7,4;5,6;0;5,7;6;2,8;2,9;5920
;R3;4,5;4,3;0;7,8;9,2;8,3;6,1;0;6,5;7,9;0;5,8;12980
;R4;0;0;10,1;8,7;0;5,1;7,6;3,8;0;0;7,6;3,7;4810
;R5;7,9;9;8,7;4,4;8,7;0;7;0;4,8;5,8;9,5;3,2;13870
;R6;4,9;4,6;6,2;9,3;0;0;8,3;3,6;0;5;4,9;8,4;4620
;R7;7,5;9,9;6,6;7,8;0;0;0;0;5,7;8,7;5,5;4,4;7290
;Costo producción (c_jk);50,99;71,83;88,62;82,1;84,07;65,76;89,46;71,96;45,46;67,85;45,46;98,33;
